name,organization,city,country,type,start_date,end_date,link
YONEX Estonian Junior 2022,Badminton World Federation,Tartu,Estonia,Junior International Series,12/9/2022,12/11/2022,/sport/tournament?id=0E511694-CD81-4EFC-AE59-0BD0054915B0
YONEX Estonian U17 International 2022,Badminton Europe,Tartu,Estonia,,12/9/2022,12/11/2022,/sport/tournament?id=6059B732-1580-42E9-9EA6-2BE7A9E90BE2
All Africa Junior Team Championships 2022,Badminton Confederation of Africa,Rose Hill,Mauritius,Continental Junior Team Championships,12/12/2022,12/14/2022,/sport/tournament?id=6C8A3D3D-F4C6-4A82-88DC-4B931B73814A
YONEX-SUNRISE Bangladesh Junior International Series 2022,BWF - Bangladesh Badminton Federation,Dhaka,Bangladesh,Junior International Series,12/12/2022,12/15/2022,/sport/tournament?id=661045CC-7BAE-4CE4-8D5B-9907A21444FD
PETRONAS Malaysia International Challenge 2022 (New Dates),BWF - Badminton Association of Malaysia,Ipoh,Malaysia,International Challenge,12/13/2022,12/18/2022,/sport/tournament?id=42F97629-F791-439E-87C4-B2B70690CB22
2023 European Mixed Team Championships - Qualification Group 2,Badminton Europe,Haarlem,Netherlands,Continental Team Championships,12/15/2022,12/17/2022,/sport/tournament?id=3204F239-2878-4430-A289-273B2BB68D20
All Africa Junior Individual Championships 2022,Badminton Confederation of Africa,Rose Hill,Mauritius,Continental Junior Individual Championships,12/15/2022,12/17/2022,/sport/tournament?id=9B6F936D-47BA-4EA0-A92D-B0FCF264006D
Polish U19 International 2022 (Cancelled),Badminton Europe,tbc,Poland,Junior International Series,12/15/2022,12/18/2022,/sport/tournament?id=DC0B564D-966E-41D7-B2EF-CD6DFECCEF9E
2023 European Mixed Team Championships - Qualification Group 3,Badminton Europe,Oberkirch,Switzerland,Continental Team Championships,12/15/2022,12/18/2022,/sport/tournament?id=979F8226-44EE-4B17-B7E2-12A8BEA16B71
2023 European Mixed Team Championships - Qualification Group 4,Badminton Europe,Glasgow,Scotland,Continental Team Championships,12/15/2022,12/18/2022,/sport/tournament?id=FF18B111-F177-4493-92ED-D4586E424533
2023 European Mixed Team Championships - Qualification Group 5,Badminton Europe,Sofia,Bulgaria,Continental Team Championships,12/15/2022,12/18/2022,/sport/tournament?id=16698638-22C9-4405-A3C2-A7C255E64096
Indonesia International Challenge 2022 (Cancelled),BWF - Badminton Asia Confederation,Jakarta,Indonesia,International Challenge,11/15/2022,11/20/2022,/sport/tournament?id=14D59ECD-90A8-4BB0-8273-2EE9B12D9D9C
SATHIO GROUP Australian Open 2022,Badminton World Federation,Sydney,Australia,HSBC BWF World Tour Super 300,11/15/2022,11/20/2022,/sport/tournament?id=E3C95F53-B593-416B-9E81-E54C21E16B18
AIG FZ FORZA Irish Open 2022,Badminton Union of Ireland,Dublin,Ireland,International Challenge,11/16/2022,11/19/2022,/sport/tournament?id=7FF9D3D9-EFE5-48A2-A317-9298B948AE62
Peru Challenge 2022,BWF - Federacion Peruana de Badminton,Lima,Peru,International Challenge,11/16/2022,11/20/2022,/sport/tournament?id=953DAD32-E4BD-412C-8E83-A27804C1772B
Zambia International 2022,BWF - Botswana Badminton Association,Lusaka,Zambia,Future Series,11/17/2022,11/20/2022,/sport/tournament?id=97AE8474-FCFC-47CA-A91B-C06E438C6419
Czech Junior 2022,BWF - Czech Badminton Federation,Orlova,Czech Republic,Junior International Series,11/18/2022,11/20/2022,/sport/tournament?id=4A1C0D5A-BAE1-4546-9289-093417A7CE87
Swedish Youth Games (U17) 2022,BWF - Swedish Badminton Association,Malmö,Sweden,,11/18/2022,11/20/2022,/sport/tournament?id=2CF79894-967F-4695-829C-16C929133CF6
WONCHEON YONEX Korea Junior International Series 2022,BWF - Badminton Korea Association,Miryang,Korea,Junior International Series,11/21/2022,11/27/2022,/sport/tournament?id=E2D503F8-BA2E-42DD-9386-221787F1FA46
Bahrain International Series 2022,BWF - Bahrain Badminton Federation,Manama,Bahrain,International Series,11/22/2022,11/27/2022,/sport/tournament?id=B689C32D-6CD8-4AB6-A8BC-166D0C81BD7C
BARFOOT & THOMPSON New Zealand Open 2022 (Cancelled),Badminton World Federation,Auckland,New Zealand,HSBC BWF World Tour Super 300,11/22/2022,11/27/2022,/sport/tournament?id=E76B4A9E-C228-4709-B3A4-133A28746A8A
XIII Mexican International 2022,BWF - Federacion Mexicana de Badminton,Guadalajara,Mexico,International Series,11/22/2022,11/27/2022,/sport/tournament?id=607D4D2E-FEED-47A2-9D75-CEECD680CA40
Botswana International 2022,BWF - Botswana Badminton Association,Lobatse,Botswana,Future Series,11/24/2022,11/27/2022,/sport/tournament?id=57FBFC71-02ED-4B6F-A966-6CB227C3528C
YONEX Slovenia Future Series 2022,BWF - Slovenia Badminton Federation,Maribor,Slovenia,Future Series,11/24/2022,11/27/2022,/sport/tournament?id=5CE7508F-B2AC-4C4E-90C1-D890BA4D7BDF
II U17 Portugal Open 2022,BWF - Portugal Badminton Federation,Caldas da Rainha,Portugal,,11/25/2022,11/27/2022,/sport/tournament?id=D8F749CA-31BD-41A1-9FD7-CEF7F43D6741
Slovak Junior 2022,BWF - Slovak Badminton Federation,Trencin,Slovakia,Junior International Series,11/25/2022,11/27/2022,/sport/tournament?id=305AF1AB-15AB-4054-BD6D-1E62405C19D5
I Campeonato Iberoamericano de Badminton 2022,Badminton Pan Am,Guadalajara,Mexico,,11/25/2022,11/28/2022,/sport/tournament?id=2C19C139-95DD-452C-B368-D3301300DA58
2023 European Mixed Team Championships - Qualification Group 1,Badminton Europe,Milton Keynes,England,Continental Team Championships,12/16/2022,12/18/2022,/sport/tournament?id=443E71E9-3FE6-4C24-9CE7-9ECA2A62CE44
Cyprus U17 International 2022,BWF - Cyprus Badminton Federation,Engomi,Cyprus,,12/16/2022,12/18/2022,/sport/tournament?id=72C2E87E-5E23-4F1F-853C-DA4A0527ED3B
Turkey Open 2022 (Cancelled),Badminton Europe,Ankara,Turkiye,International Series,12/19/2022,12/22/2022,/sport/tournament?id=1DC35EB2-FB03-49A6-AE81-B47D1697E312
Test Tournament 2022 BWF,Badminton World Federation,Kuala Lumpur,Malaysia,Other,1/4/2022,12/31/2022,/sport/tournament?id=A0229882-71E5-4329-863F-EDB209A60D1C
CARLTON International Youth Tournament (U17) 2022,BWF - Badminton Nederland,Hoensbroek,Netherlands,,12/28/2022,12/29/2022,/sport/tournament?id=8F20CF38-2085-4E93-AC77-69B0A3BCEC14
PETRONAS Malaysia Open 2023,Badminton World Federation,Kuala Lumpur,Malaysia,HSBC BWF World Tour Super 1000,1/10/2023,1/15/2023,/sport/tournament?id=4310C928-4346-43FA-A82B-63F58544A4EA
YONEX Estonian International 2023,BWF - Badminton Estonia,Tallinn,Estonia,International Series,1/12/2023,1/15/2023,/sport/tournament?id=79F99039-2C3B-4788-8647-A00DFECD0D61
YONEX SUNRISE India Open 2023,Badminton World Federation,New Delhi,India,HSBC BWF World Tour Super 750,1/17/2023,1/22/2023,/sport/tournament?id=9C81DC2E-84E0-4A1A-8C20-EFB1B8CB03F2
DAIHATSU Indonesia Masters 2023,Badminton World Federation,Jakarta,Indonesia,HSBC BWF World Tour Super 500,1/24/2023,1/29/2023,/sport/tournament?id=4B835D01-8FB0-41D6-B78E-53ED68D9E9A9
RSL Iceland International 2023,BWF - Badminton Association of Iceland,Reykjavik,Iceland,Future Series,1/26/2023,1/29/2023,/sport/tournament?id=8E707E95-B6D3-4EB5-8921-696288553EA3
Swedish International U17 2023,BWF - Swedish Badminton Association,Uppsala,Sweden,,1/27/2023,1/29/2023,/sport/tournament?id=4F895903-CF1F-4FA3-BAAB-B6616B7D7CB5
Swedish Junior 2023,BWF - Swedish Badminton Association,Uppsala,Sweden,Junior International Series,1/27/2023,1/29/2023,/sport/tournament?id=7DC216B6-4EFA-4D9C-BEDB-71C950BAD0B6
31st Iran Fajr International Challenge 2023,BWF - Badminton Federation of the I R of Iran,Tehran,Iran,International Challenge,1/31/2023,2/5/2023,/sport/tournament?id=C1758C8C-44A8-4A47-B22A-A89A00AE98E7
PRINCESS SIRIVANNAVARI Thailand Masters 2023,Badminton World Federation,Bangkok,Thailand,HSBC BWF World Tour Super 300,1/31/2023,2/5/2023,/sport/tournament?id=DB34957F-2E70-43B3-A935-8E98EE0EA6BF
Spanish U17 Open 2023,BWF - Federación Española de Bádminton,Benalmádena,Spain,,2/3/2023,2/5/2023,/sport/tournament?id=CD50A19F-202F-4A8D-A3DF-295974B9A90D
13th MULTI ALARM Hungarian Junior International Championships 2023 presented by VICTOR,BWF - Hungarian Badminton Association,Pécs,Hungary,Junior International Series,2/9/2023,2/12/2023,/sport/tournament?id=357BAD28-49A6-4718-B977-AE1F2F15522B
Pacific U15 Invitation Team Challenge 2023,Badminton Oceania,Auckland,New Zealand,,2/10/2023,2/12/2023,/sport/tournament?id=C56D2CB9-D849-4EDF-8AC9-889ECF41CD20
VICTOR Oceania Junior Mixed Team Championships 2023,Badminton Oceania,Auckland,New Zealand,Continental Junior Team Championships,2/10/2023,2/12/2023,/sport/tournament?id=C6F94211-0234-4C35-9889-D322308B4A0C
All Africa Mixed Team Championships 2023,Badminton Confederation of Africa,Johannesburg,South Africa,Continental Team Championships,2/13/2023,2/16/2023,/sport/tournament?id=A604EBF1-8349-4D2A-AC49-F1F8866C1AF0
VICTOR Oceania Championships 2023,Badminton Oceania,Auckland,New Zealand,Continental Individual Championships,2/13/2023,2/16/2023,/sport/tournament?id=943972A8-D684-4613-8194-AFD0FD56ACB0
VICTOR Oceania Junior Championships 2023,Badminton Oceania,Auckland,New Zealand,Continental Junior Individual Championships,2/13/2023,2/16/2023,/sport/tournament?id=10FA45E0-4CCE-4837-9404-79C656E5B33B
2023 European Mixed Team Championships,Badminton Europe,Aire-sur-la-Lys,France,Continental Team Championships,2/14/2023,2/18/2023,/sport/tournament?id=61911714-218F-4990-A2F4-8E66C5A3F8A7
Badminton Asia Mixed Team Championship 2023,Badminton Asia Confederation,Dubai,United Arab Emirates,Continental Team Championships,2/14/2023,2/19/2023,/sport/tournament?id=22E15215-D1C3-461E-AC09-BE56251CC792
Pan American Cup 2023,Pan American Badminton Confederation,Guadalajara,Mexico,Continental Team Championships,2/16/2023,2/19/2023,/sport/tournament?id=FBB62F22-DB00-445C-8ECB-25A6973F9F88
All Africa Individual Championships 2023,Badminton Confederation of Africa,Johannesburg,South Africa,Continental Individual Championships,2/17/2023,2/19/2023,/sport/tournament?id=6C33BA5F-A839-4B15-A327-8E73544F1666
VICTOR Oceania Mixed Team Championships 2023,Badminton Oceania,Auckland,New Zealand,Continental Team Championships,2/17/2023,2/19/2023,/sport/tournament?id=081B7F90-BD20-45B6-A6FD-0B627E4E8208
Uganda International Challenge 2023,BWF - Uganda Badminton Association,Kampala,Uganda,International Challenge,2/22/2023,2/26/2023,/sport/tournament?id=A03470E8-95D7-4E90-8158-1F17C48E3CC6
Italian Junior 2023,BWF - Federazione Italiana Badminton,Milano,Italy,Junior International Challenge,2/24/2023,2/26/2023,/sport/tournament?id=12FFB526-EA1B-4ECB-831F-DFAFE9C2EE76
Uganda Junior International 2023,BWF - Uganda Badminton Association,Kampala,Uganda,Junior Future Series,2/27/2023,3/1/2023,/sport/tournament?id=87BF1EE4-FE56-436D-B550-D08A3118AD58
YONEX Dutch Junior International 2023,BWF - Badminton Nederland,Haarlem,Netherlands,Junior International Grand Prix,3/1/2023,3/5/2023,/sport/tournament?id=9E09D32E-36A4-425D-938F-87F75EA769C1
TOYOTA Gazoo Racing Thailand International Challenge 2023,BWF - Badminton Association of Thailand,Nakhon Ratchasima,Thailand,International Challenge,3/7/2023,3/12/2023,/sport/tournament?id=DA37AC8C-AC5B-4BF6-82C3-65473F69B4AC
YONEX German Open 2023,Badminton World Federation,Mulheim,Germany,HSBC BWF World Tour Super 300,3/7/2023,3/12/2023,/sport/tournament?id=24639F0A-A1CA-4711-A78B-DFC8AB19FD1A
58 Portugal International Championships 2023,BWF - Portugal Badminton Federation,Caldas da Rainha,Portugal,International Series,3/8/2023,3/12/2023,/sport/tournament?id=42B3A2E8-D0B1-4CB6-B85E-AE01AF20B676
YONEX German Junior 2023,BWF - German Badminton Association,Berlin,Germany,Junior International Grand Prix,3/8/2023,3/12/2023,/sport/tournament?id=4E87CABC-56B7-4ABD-8ADF-4D3202FA280B
CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2023,Badminton World Federation,Ha Noi,Vietnam,International Challenge,3/21/2023,3/26/2023,/sport/tournament?id=DC011AC7-1385-4184-8B84-A0981A2A0FA9
YONEX Swiss Open 2023,Badminton World Federation,Basel,Switzerland,HSBC BWF World Tour Super 300,3/21/2023,3/26/2023,/sport/tournament?id=FA9435EC-E58A-40EC-8BE1-1C92C487B6B3
ORLEN Polish Open 2023,BWF - Polish Badminton Association,Tarnów,Poland,International Challenge,3/22/2023,3/26/2023,/sport/tournament?id=E9447FD3-E0D3-43F6-BFD0-F439BCD03B71
Madrid Spain Masters 2023,Badminton World Federation,Madrid,Spain,HSBC BWF World Tour Super 300,3/28/2023,4/2/2023,/sport/tournament?id=66AD080B-83CD-461D-809B-F47F47D66EA3
Osaka International Challenge 2023,BWF - Nippon Badminton Association,Osaka,Japan,International Challenge,3/29/2023,4/2/2023,/sport/tournament?id=D1E66FE0-9A5C-4EC0-A425-0367B1C2A2FF
OLIVER Czech U17 International 2023,BWF - Czech Badminton Federation,Český Krumlov,Czech Republic,,3/30/2023,4/1/2023,/sport/tournament?id=3F9D0838-2ABF-4F29-B152-59C490A3FF9C
PACK LINE Israel Junior 2023,BWF - Israel Badminton Association,Rishon Le Zion,Israel,Junior International Series,3/30/2023,4/1/2023,/sport/tournament?id=89105587-8BAF-4038-AA72-E30E97C5F4BA
Orléans Masters Badminton 2023 presented by VICTOR,Badminton World Federation,Orleans,France,HSBC BWF World Tour Super 300,4/4/2023,4/9/2023,/sport/tournament?id=9ABED7DB-59A0-4278-8C49-CAE28C17DF18
FZ FORZA Alpes International U19 2023,BWF - Federation Francaise de Badminton,Voiron,France,Junior International Series,4/6/2023,4/9/2023,/sport/tournament?id=D60C4DF5-4371-439E-B1A8-62B745267A58
VICTOR JOT Tournament (U17) 2023,BWF - Belgian Badminton Federation,Edegem,Belgium,,4/7/2023,4/9/2023,/sport/tournament?id=936EF66D-9AFE-4B76-ACEF-4528EBD665AC
FZ FORZA Dutch International 2023,BWF - Badminton Nederland,Wateringen,Netherlands,International Series,4/13/2023,4/16/2023,/sport/tournament?id=D4DC21A8-AE79-455D-B98C-B5D09278B5B1
VICTOR Latvia U17 International 2023,BWF - Latvian Badminton Federation,Liepāja,Latvia,,4/14/2023,4/16/2023,/sport/tournament?id=6C999A8B-3BEA-4CBA-9AE3-C063CAD69BF5
BWF Team Test Tournament,Badminton World Federation,Kuala Lumpur,Malaysia,Grade 1 – Team Tournaments,4/19/2023,12/30/2023,/sport/tournament?id=EE14A29D-FCE2-4E63-B902-BC10306296C6
BWF Test Tournament,Badminton World Federation,Kuala Lumpur,Malaysia,Other,4/19/2023,12/30/2023,/sport/tournament?id=2E385DF0-55C9-4059-BD3F-EA0D6D29FC02
YONEX France U17 Open 2023,BWF - Federation Francaise de Badminton,Aire sur la Lys,France,,4/20/2023,4/22/2023,/sport/tournament?id=475BB99C-F79B-4176-8C1C-8300894146F8
Cyprus Junior 2023,BWF - Cyprus Badminton Federation,Nicosia,Cyprus,Junior International Series,4/21/2023,4/23/2023,/sport/tournament?id=7AB7227D-EB14-4D92-B82D-874B750BF1B3
BWF Team Test Tournament,Badminton World Federation,Kuala Lumpur,Malaysia,Other,4/19/2023,12/30/2023,/sport/tournament?id=EE14A29D-FCE2-4E63-B902-BC10306296C6
KHILADIX.COM Dubai Badminton Asia Championships 2023 powered by FLOKI,BWF - Badminton Asia Confederation,Dubai,United Arab Emirates,Continental Individual Championships,4/25/2023,4/30/2023,/sport/tournament?id=EF5DE126-C8E6-4B61-B575-9A3E41B50F83
XXVI YONEX Pan Am Individual Championships 2023,Badminton Pan Am,Kingston,Jamaica,Continental Individual Championships,4/26/2023,4/29/2023,/sport/tournament?id=9A87EA3A-AF43-47C7-85B7-269975BC0583
YONEX Bozner Cup U17 International 2023,BWF - Federazione Italiana Badminton,Bolzano,Italy,,4/28/2023,4/30/2023,/sport/tournament?id=F1E5738B-C225-43CA-8025-57F1AA55473D
ANOC WBG Pan Am Qualification 2023,Pan American Badminton Confederation,Spanish Town ,Jamaica,,4/29/2023,4/30/2023,/sport/tournament?id=EC8A3E81-0186-4CCC-A168-4FA9839592FF
III Mexican International Challenge 2023,BWF - Federacion Mexicana de Badminton,Guadalajara,Mexico,International Challenge,5/2/2023,5/7/2023,/sport/tournament?id=B29F4333-B0CE-49BD-85C6-B4318021D214
YONEX Luxembourg Open 2023,BWF -Federation Luxembourgise de Badminton - Luxembourg,Luxembourg,Luxembourg,International Series,5/4/2023,5/7/2023,/sport/tournament?id=8B77A2D1-5346-439E-8422-9FB77295C0EC
Stockholm Junior 2023 (Cancelled),Badminton Europe,Täby,Sweden,Junior International Series,5/5/2023,5/7/2023,/sport/tournament?id=6082000F-CCF8-4D9D-943D-B93BC99DD525
Austrian U17 Open 2023,BWF - Österreichischer Badminton Verband,Dornbirn,Austria,,5/5/2023,5/7/2023,/sport/tournament?id=3CE1F47C-742B-49B4-B177-4A8BFE455D65
SEA Games 2023 ( Team Event),Badminton Asia Confederation,Phnom Penh,Cambodia,Continental Team Games,5/8/2023,5/11/2023,/sport/tournament?id=EBB833A7-CA28-4647-8C8E-DC2F5836E15D
VICTOR Swedish Open 2023,BWF - Swedish Badminton Association,Uppsala,Sweden,International Series,5/11/2023,5/14/2023,/sport/tournament?id=95DD3E05-F9FA-468F-A741-19DCA582A6A9
YONEX 3 Borders U19 2023,BWF - Federation Francaise de Badminton,Saint Louis,France,Junior International Series,5/12/2023,5/14/2023,/sport/tournament?id=19E59720-AC1F-4A64-BEE2-415E7E935990
SEA Games 2023 ( Individual Events),BWF - Badminton Asia Confederation,Phnom Penh,Cambodia,,5/12/2023,5/16/2023,/sport/tournament?id=FD253B80-4B66-47F9-BDE2-88FD8AF2A962
TotalEnergies BWF Sudirman Cup Finals 2023,Badminton World Federation,Suzhou,China,Grade 1 – Team Tournaments,5/14/2023,5/21/2023,/sport/tournament?id=A8920452-3D1B-4964-ABD7-6AC0E6AC3CCC
I FEEL SLOVENIA YONEX Open 2023,BWF - Slovenia Badminton Federation,Maribor,Slovenia,International Challenge,5/17/2023,5/21/2023,/sport/tournament?id=6C0EEEC5-726B-4A72-A9DA-AADBB3F23303
PERODUA Malaysia Masters 2023 presented by DAIHATSU,Badminton World Federation,Kuala Lumpur,Malaysia,HSBC BWF World Tour Super 500,5/23/2023,5/28/2023,/sport/tournament?id=348FA0E2-708B-457A-A231-FC7B8062D198
YONEX Polish U17 Open 2023,Badminton Europe,Białystok,Poland,,5/25/2023,5/27/2023,/sport/tournament?id=2AE9DEA1-909C-491F-AB5C-87035161E48F
Austrian Open 2023,Badminton World Federation,Graz,Austria,International Series,5/25/2023,5/28/2023,/sport/tournament?id=DD56F461-B652-40CF-B14E-7CA7C8240302
TOYOTA GAZOO RACING Thailand Open 2023,Badminton World Federation,Bangkok,Thailand,HSBC BWF World Tour Super 500,5/30/2023,6/4/2023,/sport/tournament?id=C7843321-98C9-4E4B-B8E0-52383E49F256
APACS Kazakhstan Future Series 2023,BWF - Republic of Kazahkstan,Shymkent,Kazakhstan,Future Series,5/31/2023,6/3/2023,/sport/tournament?id=AFCE60FC-3004-4419-83AD-200FF1625EBD
YONEX Bonn International 2023,BWF - German Badminton Association,Bonn,Germany,Future Series,5/31/2023,6/3/2023,/sport/tournament?id=BBDBB337-01F9-4DD9-9D21-93186C21393D
Chile International 2023,Badminton Pan Am,Santiago,Chile,Future Series,5/31/2023,6/4/2023,/sport/tournament?id=DC0D9960-E9BE-4786-9333-17C0A4CC8068
Italian International 2023 (Cancelled),Badminton Europe,Milan,Italy,International Challenge,6/1/2023,6/4/2023,/sport/tournament?id=E5D2FF42-1124-4A0E-B6FD-C9989CC366D4
LI-NING Maldives International Challenge 2023,BWF - Badminton Association of Maldives,Male,Maldives,International Challenge,6/5/2023,6/10/2023,/sport/tournament?id=1ACA91A3-ACA6-49B1-97D2-CA05C7EB7BE6
LI-NING Maldives International Challenge 2023,Badminton World Federation,Male,Maldives,International Challenge,6/5/2023,6/10/2023,/sport/tournament?id=1ACA91A3-ACA6-49B1-97D2-CA05C7EB7BE6
CROWNE PLAZA Northern Marianas Open 2023,Badminton World Federation,Saipan,Northern Mariana Islands,International Challenge,6/6/2023,6/11/2023,/sport/tournament?id=6F65618E-3246-4D08-B930-28C57AF68B5A
KFF Singapore Open 2023,Badminton World Federation,Singapore,Singapore,HSBC BWF World Tour Super 750,6/6/2023,6/11/2023,/sport/tournament?id=10DDD177-0DDD-4B02-B310-5913F127F97F
XIII Santo Domingo Open 2023,Badminton World Federation,Santo Domingo,Dominican Republic,International Series,6/7/2023,6/11/2023,/sport/tournament?id=ED28B16F-4971-405A-80AE-A0768BF542DB
BABOLAT German U17 Open 2023,BWF - German Badminton Association,Bergisch Gladbach,Germany,,6/8/2023,6/11/2023,/sport/tournament?id=63BF929C-D1C5-4BCC-BFCE-D02C74CC7EEC
RSL Lithuanian International 2023,Badminton Europe,Panevėžys,Lithuania,Future Series,6/8/2023,6/11/2023,/sport/tournament?id=02707AB6-773E-4BC0-BBF2-C788F33C531C
VICTOR Denmark Masters 2023,Badminton World Federation,Hillerød,Denmark,International Challenge,6/8/2023,6/11/2023,/sport/tournament?id=4D0AD9EF-BF50-4533-A327-BB7190CE5773
ANOC WBG Europe Qualification 2023,Badminton World Federation,Werkendam,Netherlands,,6/9/2023,6/11/2023,/sport/tournament?id=2EFFA7C4-956B-4D67-A7CD-C5DE9DADFA54
Bulgarian U17 International 2023,BWF - Bulgarian Badminton Federation,Svilengrad,Bulgaria,,6/9/2023,6/11/2023,/sport/tournament?id=5D92E59A-D516-459F-861D-9889A49B2746
IBERDROLA Spanish Junior International 2023,BWF - Federación Española de Bádminton,El Campello,Spain,Junior International Series,6/9/2023,6/11/2023,/sport/tournament?id=437DCA06-8F7F-405E-ADBC-0DCE7D45A259
Bulgarian Junior U19 International 2023,BWF - Bulgarian Badminton Federation,Svilengrad,Bulgaria,Junior International Series,6/12/2023,6/15/2023,/sport/tournament?id=04269774-3951-4A66-B841-E051B54B6DEF
Bulgarian Junior U19 International 2023,Badminton Europe,Svilengrad,Bulgaria,Junior International Series,6/12/2023,6/15/2023,/sport/tournament?id=04269774-3951-4A66-B841-E051B54B6DEF
KAPAL API GROUP Indonesia Open 2023,Badminton World Federation,Jakarta,Indonesia,HSBC BWF World Tour Super 1000,6/13/2023,6/18/2023,/sport/tournament?id=1A870AD1-262D-4D3A-BAF4-0C425D12A25B
TAKECARE Saipan International 2023,Northern Marianas Badminton Association,Saipan,Northern Mariana Islands,International Challenge,6/13/2023,6/18/2023,/sport/tournament?id=C7F951E6-7AE1-441B-9A0A-16FDF8D920BC
IX Guatemala Junior International 2023,BWF - Federacion Nacional de Badminton de Guatemal,Guatemala,Guatemala,Junior Future Series,6/14/2023,6/18/2023,/sport/tournament?id=36A0E715-1C15-410F-B20D-10FE6EF9150A
Perú Future Series 2023,BWF - Federacion Peruana de Badminton,Lima,Peru,Future Series,6/14/2023,6/18/2023,/sport/tournament?id=0E779830-4B9B-42EF-A7AA-FF9BE220A3A2
Nantes International Challenge 2023,BWF - Federation Francaise de Badminton,REZE,France,International Challenge,6/15/2023,6/18/2023,/sport/tournament?id=9DCE58DB-3B38-4A9A-9E54-85BD962000B1
2023 European Club Championships,Badminton Europe,Oviedo,Spain,,6/19/2023,6/23/2023,/sport/tournament?id=288BB37A-5C52-45DA-B647-F73972FE258C
Hangzhou China International Challenge 2023,BWF - Chinese Badminton Association,Hangzhou,China,International Challenge,6/20/2023,6/25/2023,/sport/tournament?id=151BA4B6-4101-4F86-8540-CDF3545FD9F1
Mongolia Junior International Series 2023,BWF - Mongolian Badminton Association,Ulaanbaatar,Mongolia,Junior International Series,6/20/2023,6/25/2023,/sport/tournament?id=00EB74E5-4382-4014-A2E0-155550F3DE87
